ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1949,6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,6
1950,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,6
1951,7,0.22,0.39,2.1,0.055,39,198,0.9951,3.52,0.54,10.2,6
1952,5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
1953,7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
1954,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
1955,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
1956,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6
1957,8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6
1958,7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
1959,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
1960,6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
1961,8.1,0.24,0.33,10.2,0.048,46,141,0.9972,3.16,0.48,10.3,6
1962,7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
1963,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
1964,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
1965,6.4,0.2,0.32,3.1,0.041,18,126,0.9914,3.43,0.42,12,6
1966,5.9,0.5,0.05,2.6,0.054,36,146,0.9948,3.43,0.5,9.2,6
1967,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
1968,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
1969,8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
1970,6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6
1971,7.9,0.18,0.36,5.9,0.058,31,132,0.995,3.25,0.52,10.9,6
1972,8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
1973,7.2,0.2,0.31,10,0.054,49,165,0.997,3.4,0.42,9.9,6
1974,7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6
1975,6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6
1976,7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,6
1977,7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6
1978,7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6
1979,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
1980,7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
1981,6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,6
1982,9.9,0.49,0.23,2.4,0.087,19,115,0.9948,2.77,0.44,9.4,6
1983,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
1984,7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6
1985,8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
1986,7.4,0.29,0.25,3.8,0.044,30,114,0.992,3.11,0.4,11,6
1987,6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
1988,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
1989,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
1990,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6
1991,7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
1992,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
1993,6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
1994,7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
1995,7.3,0.18,0.29,1,0.036,26,101,0.99,3.09,0.37,11.7,6
1996,6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6
1997,6,0.28,0.27,2.3,0.051,23,147,0.994,3.23,0.67,10.3,6
1998,8.9,0.24,0.33,15.75,0.035,16,132,0.996,3,0.37,12.1,6
1999,7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
2000,6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6
2001,7,0.32,0.35,1.5,0.039,24,125,0.9918,3.17,0.64,12.2,6
2002,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6
2003,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
2004,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,6
2005,7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,6
2006,7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,6
2007,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
2008,6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
2009,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
2010,6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
2011,8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6
2012,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
2013,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
2014,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
2015,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
2016,7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6
2017,9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6
2018,6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,6
2019,7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6
2020,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
2021,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6
2022,6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
2023,8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6
2024,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
2025,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
2026,6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
2027,8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6
2028,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6
2029,6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6
2030,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
2031,7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6
2032,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
2033,6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
2034,6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6
2035,8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
2036,6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6
2037,7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6
2038,6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
2039,7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6
2040,8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
2041,7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6
2042,7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
2043,8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6
2044,6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6
2045,7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6
2046,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
2047,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6
2048,7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6
2049,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
2050,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
2051,7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
2052,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
2053,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6
2054,7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
2055,8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
2056,7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6
2057,6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6
2058,6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
2059,7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
2060,8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
2061,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
2062,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6
2063,7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
2064,6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
2065,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
2066,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
2067,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6
2068,7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6
2069,7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6
2070,6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
2071,6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
2072,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
2073,6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6
2074,8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6
2075,6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6
2076,8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
2077,8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6
2078,7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
2079,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6
2080,7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6
2081,8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
2082,7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6
2083,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
2084,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
2085,7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
2086,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
2087,7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
2088,8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
2089,7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6
2090,8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6
2091,8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
2092,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
2093,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6
2094,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6
2095,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
2096,6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
2097,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
2098,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
2099,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
2100,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6
2101,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
2102,7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6
2103,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
2104,8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6
2105,6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6
2106,6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6
2107,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
2108,6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6
2109,6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
2110,6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6
2111,6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
2112,8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6
2113,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
2114,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
2115,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
2116,7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6
2117,6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6
2118,6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6
2119,8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6
2120,7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6
2121,6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
2122,6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
2123,6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
2124,6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6
2125,5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6
2126,7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6
2127,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6
2128,7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
2129,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,6
2130,5.8,0.3,0.12,1.6,0.036,57,163,0.99239,3.38,0.59,10.5,6
2131,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
2132,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
2133,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
2134,5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
2135,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
2136,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
2137,6.9,0.32,0.3,1.8,0.036,28,117,0.99269,3.24,0.48,11,6
2138,7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,6
2139,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
2140,6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,6
2141,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
2142,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
2143,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
2144,6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
2145,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6
2146,7,0.16,0.32,1.1,0.032,29,80,0.98972,3.23,0.36,12.1,6
2147,6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6
2148,6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6
2149,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6
2150,6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6
2151,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
2152,6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
2153,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
2154,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
2155,7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6
2156,8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6
2157,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
2158,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
2159,6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,6
2160,7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
2161,5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6
2162,8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
2163,7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
2164,9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,6
2165,7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
2166,7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
2167,6.6,0.23,0.29,14.45,0.057,29,144,0.99756,3.33,0.54,10.2,6
2168,7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6
2169,7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6
2170,6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6
2171,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
2172,7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6
2173,9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,6
2174,7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,6
2175,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6
2176,6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6
2177,7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6
2178,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6
2179,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
2180,7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6
2181,6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
2182,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6
2183,7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
2184,7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6
2185,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
2186,6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
2187,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
2188,6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6
2189,6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
2190,5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6
2191,6.5,0.22,0.5,16.4,0.048,36,182,0.99904,3.02,0.49,8.8,6
2192,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
2193,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
2194,6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6
2195,6.7,0.26,0.39,6.4,0.171,64,200,0.99562,3.19,0.38,9.4,6
2196,7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6
2197,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
2198,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
2199,6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,6
2200,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6
2201,6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6
2202,5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
2203,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
2204,7.5,0.26,0.25,1.7,0.038,29,129,0.99312,3.45,0.56,10.4,6
2205,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
2206,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6
2207,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
2208,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
2209,7.1,0.29,0.28,9.3,0.048,50,141,0.9949,3.13,0.49,10.3,6
2210,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
2211,6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6
2212,6.3,0.2,0.19,12.3,0.048,54,145,0.99668,3.16,0.42,9.3,6
2213,8,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,6
2214,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6
2215,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6
2216,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6
2217,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6
2218,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6
2219,6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
2220,7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6
2221,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,6
2222,5.8,0.13,0.26,5.1,0.039,19,103,0.99478,3.36,0.47,9.3,6
2223,7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6
2224,7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,6
2225,7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
2226,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
2227,6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
2228,6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
2229,7.9,0.16,0.3,7.4,0.05,58,152,0.99612,3.12,0.37,9.5,6
2230,7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
2231,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
2232,7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
2233,7.8,0.965,0.6,65.8,0.074,8,160,1.03898,3.39,0.69,11.7,6
2234,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
2235,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
2236,7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
2237,8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
2238,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6
2239,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6
2240,7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6
2241,7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
2242,6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6
2243,6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,6
2244,7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6
2245,7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
2246,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
2247,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
2248,6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
2249,6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
2250,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
2251,6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
2252,7.3,0.26,0.3,9.3,0.05,35,154,0.99581,3.21,0.5,10.4,6
2253,6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6
2254,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6
2255,5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,6
